community_id,size,top_institutions,top_topics
0,86,"National Bureau of Economic Research (11), Center for Economic and Policy Research (9), Stanford University (8)","Macro / Financial Markets & Stability (31), Applied / Labor Economics (21), Applied / Political Economy & Governance (13)"
1,78,"University of Oxford (6), University of Rochester (6), University of Chicago (6)","Applied / Labor Economics (21), Applied / Development Economics (17), Micro / Industrial Organization & Competition (11)"
2,68,"University of California, Berkeley (15), National Bureau of Economic Research (10), University of California San Diego (8)","Applied / Labor Economics (19), Applied / Development Economics (17), Macro / Fiscal Policy (12)"
3,67,"Yale University (7), Columbia University (6), Massachusetts Institute of Technology (6)","Micro / Game Theory & Mechanism Design (21), Micro / Behavioral & Experimental Economics (16), Macro / Financial Markets & Stability (12)"
4,67,"Center for Economic and Policy Research (7), National Bureau of Economic Research (7), Massachusetts Institute of Technology (6)","Micro / Industrial Organization & Competition (13), Applied / Political Economy & Governance (13), Micro / General Economic Theory (12)"
5,66,"Center for Economic and Policy Research (13), Bocconi University (8), National Bureau of Economic Research (6)","Applied / Labor Economics (20), Macro / Fiscal Policy (14), Applied / Development Economics (12)"
6,65,"University of Pennsylvania (8), Federal Reserve (8), Chinese University of Hong Kong (8)","Macro / Financial Markets & Stability (24), Micro / General Economic Theory (16), Macro / Fiscal Policy (11)"
7,63,"University of Chicago (8), National Bureau of Economic Research (7), Stanford University (3)","Applied / Health Economics (16), Macro / Financial Markets & Stability (11), Econometrics / Statistical & Bayesian Methods (8)"
8,63,"National Bureau of Economic Research (7), Harvard University (6), Massachusetts Institute of Technology (4)","Applied / Health Economics (47), Applied / Urban & Regional Economics (9), Macro / Fiscal Policy (4)"
9,54,"National Bureau of Economic Research (15), Stanford University (9), Massachusetts Institute of Technology (6)","Micro / Behavioral & Experimental Economics (14), Applied / Corporate & Household Finance (13), Applied / Labor Economics (10)"
10,52,"National Bureau of Economic Research (15), Center for Economic and Policy Research (7), University of California, Berkeley (7)","Macro / Monetary Policy & Central Banking (23), Micro / General Economic Theory (14), Macro / Financial Markets & Stability (11)"
11,44,"Princeton University (10), University of California, Berkeley (8), National Bureau of Economic Research (5)","Applied / Political Economy & Governance (12), Applied / International Trade (7), Applied / Public Finance & Taxation (6)"
12,43,"University of Chicago (5), Stanford University (5), National Bureau of Economic Research (4)","Macro / Monetary Policy & Central Banking (10), Applied / Health Economics (9), Micro / Auctions & Market Design (9)"
13,33,"National Bureau of Economic Research (7), Brown University (6), Harvard University (5)","Applied / Political Economy & Governance (12), Applied / Corporate & Household Finance (7), Applied / Health Economics (5)"
14,31,"Center for Economic and Policy Research (7), National Bureau of Economic Research (5), Dartmouth College (4)","Applied / Labor Economics (21), Applied / Urban & Regional Economics (7), Micro / Industrial Organization & Competition (5)"
15,29,"University of Wisconsin–Madison (3), University of Georgia (3), Yale University (3)","Micro / Industrial Organization & Competition (12), Applied / Education Economics (8), Micro / Auctions & Market Design (7)"
16,28,"Institute for Fiscal Studies (4), University of Oxford (2), Chinese University of Hong Kong (2)","Applied / Labor Economics (8), Applied / Health Economics (8), Applied / Education Economics (6)"
17,27,"National Bureau of Economic Research (7), Duke University (4), New York University (3)","Macro / Fiscal Policy (8), Micro / General Economic Theory (7), Macro / Financial Markets & Stability (7)"
18,23,"Massachusetts Institute of Technology (3), Universitas Gadjah Mada (3), ADA University (3)","Applied / Development Economics (6), Applied / Labor Economics (5), Micro / Behavioral & Experimental Economics (4)"
19,21,"University of Chicago (9), National Bureau of Economic Research (4), Universidad EAFIT (2)","Applied / Education Economics (12), Applied / Health Economics (5), Applied / Political Economy & Governance (4)"
20,21,"National Bureau of Economic Research (9), University of California, Berkeley (4), University of California, Los Angeles (3)","Applied / Environmental & Energy Economics (9), Applied / Health Economics (6), Applied / Political Economy & Governance (5)"
22,20,"National Bureau of Economic Research (5), University of California, Berkeley (5), Massachusetts Institute of Technology (3)","Applied / International Trade (9), Applied / Development Economics (7), Applied / Public Finance & Taxation (4)"
21,20,"Cornell University (5), Harvard University (4), Center for Economic and Policy Research (3)","Micro / Industrial Organization & Competition (9), Applied / International Trade (6), Applied / Development Economics (4)"
23,18,"Pennsylvania State University (4), Northwestern University (3), London School of Economics and Political Science (2)","Micro / Auctions & Market Design (9), Micro / Game Theory & Mechanism Design (6), Applied / Education Economics (5)"
24,15,"University of British Columbia (5), Seoul National University (4), The University of Tokyo (4)","Applied / Corporate & Household Finance (7), Micro / Auctions & Market Design (6), Micro / Game Theory & Mechanism Design (5)"
25,15,"National Bureau of Economic Research (5), Yale University (2), University of Nebraska–Lincoln (1)","Applied / Urban & Regional Economics (9), Applied / Political Economy & Governance (7), Applied / Labor Economics (3)"
26,14,"Center for Economic and Policy Research (4), Stanford University (2), BREAD (Bureau for Research and Economic Analysis of Development) (2)","Applied / Political Economy & Governance (7), Applied / Development Economics (4), Applied / Labor Economics (3)"
27,14,"National Bureau of Economic Research (3), Stanford University (2), Columbia University (2)","Macro / Financial Markets & Stability (10), Macro / Monetary Policy & Central Banking (5), Applied / Corporate & Household Finance (4)"
28,13,"National Bureau of Economic Research (3), University of Rochester (2), Bureau of Economic Analysis (2)","Applied / Public Finance & Taxation (6), Applied / International Trade (5), Macro / Fiscal Policy (5)"
29,12,"National Bureau of Economic Research (3), Princeton University (3), Columbia University (2)","Applied / Political Economy & Governance (5), Applied / International Trade (4), Applied / Education Economics (3)"
30,12,"Institut d'Etudes Politiques de Paris (1), Center for Economic and Policy Research (1), University College London (1)","Applied / Labor Economics (6), Applied / Corporate & Household Finance (4), Applied / Health Economics (3)"
34,11,"University of Michigan (3), Fafo Foundation (3), World Bank (2)","Applied / Political Economy & Governance (6), Applied / Corporate & Household Finance (4), Applied / Development Economics (2)"
35,11,"Instituto Tecnológico Autónomo de México (2), Michigan State University (2), Mexican Social Security Institute (1)","Applied / Health Economics (5), Macro / Financial Markets & Stability (5), Applied / Political Economy & Governance (3)"
32,11,"University of California, Los Angeles (5), Harvard University (2), Tobacco Research Institute (2)","Macro / Monetary Policy & Central Banking (4), Applied / Development Economics (3), Micro / General Economic Theory (3)"
33,11,"Collegio Carlo Alberto (2), University of Turin (2), Escola Brasileira de Economia e Finanças (2)","Micro / Auctions & Market Design (5), Applied / Labor Economics (4), Micro / General Economic Theory (3)"
31,11,"Princeton University (3), University of Bristol (3), Stanford University (3)","Macro / Monetary Policy & Central Banking (5), Micro / General Economic Theory (3), Macro / Fiscal Policy (3)"
36,10,"Stockholm University (3), University of California, Berkeley (2), Harvard University (1)","Applied / Political Economy & Governance (8), Applied / Development Economics (2), Applied / Environmental & Energy Economics (2)"
37,10,"National Bureau of Economic Research (5), Center for Economic and Policy Research (3), BREAD (Bureau for Research and Economic Analysis of Development) (3)","Applied / Education Economics (5), Applied / Labor Economics (4), Applied / Public Finance & Taxation (2)"
38,10,"University of California, Berkeley (3), National Bureau of Economic Research (2), Stanford University (1)","Applied / Health Economics (5), Macro / Business Cycles & Growth (4), Micro / Industrial Organization & Competition (3)"
45,9,"Georgetown University (3), University of Copenhagen (2), Yale University (1)","Applied / Environmental & Energy Economics (5), Applied / Other / Interdisciplinary (4), Applied / Development Economics (2)"
43,9,"Northwestern University (2), Center for Economic and Policy Research (2), Centre for Economic Policy Research (2)","Micro / General Economic Theory (5), Applied / Corporate & Household Finance (3), Macro / Financial Markets & Stability (3)"
47,9,"University of California, Berkeley (4), University of Hong Kong (3), Center for Economic and Policy Research (3)","Applied / Labor Economics (5), Applied / International Trade (3), Applied / Development Economics (3)"
44,9,"Centre for Economic Policy Research (4), Center for Economic and Policy Research (3), Princeton University (2)","Micro / Industrial Organization & Competition (5), Micro / Game Theory & Mechanism Design (3), Micro / Auctions & Market Design (2)"
46,9,"University of Chicago (2), University of California, Berkeley (2), University of Newcastle Australia (1)","Macro / Fiscal Policy (5), Applied / Political Economy & Governance (5)"
42,9,"Center for Economic and Policy Research (3), Bank of Spain (2), University of Pennsylvania (2)","Applied / Development Economics (4), Macro / Monetary Policy & Central Banking (4), Econometrics / Time Series & Panel Data Methods (3)"
40,9,"Kiel Institute for the World Economy (3), University of Bonn (2), Centre for Economic Policy Research (2)","Applied / Labor Economics (5), Applied / Corporate & Household Finance (4), Applied / Political Economy & Governance (3)"
41,9,"National Bureau of Economic Research (3), University of California, Berkeley (1), Princeton University (1)","Macro / Financial Markets & Stability (6), Macro / Monetary Policy & Central Banking (4), Applied / Labor Economics (1)"
39,9,"Toulouse School of Economics (2), Centre for Economic Policy Research (2), Michigan State University (1)","Micro / Industrial Organization & Competition (5), Applied / Health Economics (4), Micro / Behavioral & Experimental Economics (2)"
54,8,"Aarhus University (3), University of Chicago (2), University of Southern California (1)","Applied / Health Economics (7), Applied / Education Economics (3)"
60,8,"National Bureau of Economic Research (3), W.E. Upjohn Institute for Employment Research (2), University of Chicago (2)","Applied / Labor Economics (6), Applied / Education Economics (4)"
59,8,"Northwestern University (2), University of Hong Kong (1), University of California, Los Angeles (1)","Applied / Labor Economics (5), Econometrics / Machine Learning in Economics (3), Applied / Economic History (2)"
58,8,"Stanford University (3), Her Majesty's Revenue and Customs (1), University of California, Los Angeles (1)",Applied / Public Finance & Taxation (8)
48,8,"Bank of England (4), Center for Economic and Policy Research (2), University of Oxford (1)","Macro / Monetary Policy & Central Banking (5), Macro / Financial Markets & Stability (3), Micro / General Economic Theory (2)"
55,8,"United States Census Bureau (2), University of Maryland, College Park (1), London School of Economics and Political Science (1)","Micro / Industrial Organization & Competition (8), Applied / Labor Economics (1)"
57,8,"University of Rochester (2), Pennsylvania State University (2), University of Essex (1)","Micro / Auctions & Market Design (3), Micro / Game Theory & Mechanism Design (3), Applied / Political Economy & Governance (3)"
53,8,"Universität Innsbruck (2), University of Essex (1), University of Cologne (1)","Applied / Labor Economics (5), Micro / Behavioral & Experimental Economics (2), Applied / Education Economics (2)"
52,8,"The University of Melbourne (4), University of Liverpool (1), Centre for Economic Policy Research (1)","Micro / Industrial Organization & Competition (7), Micro / Auctions & Market Design (2)"
51,8,"National Bureau of Economic Research (2), Boston University (2), University of Mannheim (1)","Applied / Labor Economics (7), Macro / Business Cycles & Growth (2)"
50,8,"Ecogenomics (Japan) (1), Federal Reserve Bank of St. Louis (1), George Washington University (1)","Applied / Corporate & Household Finance (6), Macro / Fiscal Policy (4)"
49,8,"Centre de Recerca en Economia Internacional (3), Barcelona School of Economics (3), Ecolab (United Kingdom) (2)","Macro / Financial Markets & Stability (6), Micro / General Economic Theory (5)"
56,8,"Harvard University (3), Dana-Farber/Harvard Cancer Center (2), Heidelberg University (1)","Applied / Other / Interdisciplinary (5), Micro / Behavioral & Experimental Economics (5), Macro / Financial Markets & Stability (3)"
68,7,"University of California, Berkeley (7), University of Chicago (4), University of Southern California (3)","Applied / Education Economics (4), Econometrics / Causal Inference & Identification (4)"
74,7,"Federal Reserve Bank of Minneapolis (2), Universidad Torcuato Di Tella (2), Federal Reserve Board of Governors (1)","Macro / Fiscal Policy (5), Macro / Financial Markets & Stability (4), Macro / Monetary Policy & Central Banking (2)"
73,7,"University of Chicago (4), Columbia University (1), University of Illinois Chicago (1)","Applied / Labor Economics (5), Applied / Education Economics (3)"
72,7,"Indiana University (3), National Bureau of Economic Research (2), Renmin University of China (1)","Applied / Environmental & Energy Economics (5), Applied / Development Economics (3)"
71,7,"Institute for Fiscal Studies (3), University College London (3), Norwegian School of Economics (3)","Applied / Development Economics (5), Applied / Urban & Regional Economics (3)"
70,7,"Duke University (6), United States Department of Labor (4), National Bureau of Economic Research (4)",Applied / Education Economics (7)
69,7,"National Bureau of Economic Research (3), University of Chicago (1), Federal Reserve Bank of New York (1)","Applied / Other / Interdisciplinary (5), Applied / Labor Economics (3)"
67,7,"University of Chicago (1), University of Mannheim (1), Arizona State University (1)","Micro / Behavioral & Experimental Economics (5), Applied / Labor Economics (3)"
66,7,"Bloomberg (United States) (4), Harvard University (4), Dana-Farber/Harvard Cancer Center (4)","Macro / Monetary Policy & Central Banking (6), Macro / Financial Markets & Stability (3)"
64,7,"Center for Economic and Policy Research (2), Northwestern University (1), University of Warwick (1)","Applied / Development Economics (5), Macro / Business Cycles & Growth (3)"
63,7,"National Bureau of Economic Research (4), Center for Economic and Policy Research (2), IESE Business School (2)","Applied / Corporate & Household Finance (4), Macro / Financial Markets & Stability (3), Micro / Industrial Organization & Competition (2)"
62,7,"National Bureau of Economic Research (2), The University of Texas at Austin (1), New York University (1)","Micro / Industrial Organization & Competition (5), Applied / Corporate & Household Finance (3)"
61,7,"World Bank (2), Université du Québec à Montréal (1), BREAD (Bureau for Research and Economic Analysis of Development) (1)","Applied / Labor Economics (4), Applied / Urban & Regional Economics (4)"
65,7,"New York University (3), University of Copenhagen (2), Centre for Economic Policy Research (1)","Applied / Corporate & Household Finance (5), Econometrics / Machine Learning in Economics (3), Micro / Behavioral & Experimental Economics (1)"
97,6,"New York University (4), Center for Economic and Policy Research (2), European Corporate Governance Institute (1)","Macro / Monetary Policy & Central Banking (4), Macro / Business Cycles & Growth (3)"
90,6,"University of South Carolina (1), Fundação Getulio Vargas (1), Federal Reserve Bank of Philadelphia (1)",Micro / Industrial Organization & Competition (6)
92,6,"University of Illinois Urbana-Champaign (2), Northwestern University (2), London School of Economics and Political Science (1)","Applied / Development Economics (4), Applied / Corporate & Household Finance (3)"
93,6,"University of Ottawa (2), University of Pittsburgh (1), University of Rochester (1)","Applied / Other / Interdisciplinary (4), Econometrics / Causal Inference & Identification (3)"
94,6,"Federal Reserve Board of Governors (2), University of Chicago (1), University of Notre Dame (1)",Applied / Corporate & Household Finance (6)
95,6,"Brigham Young University (4), Emory University (4), Syracuse University (1)","Micro / Behavioral & Experimental Economics (4), Applied / Labor Economics (3)"
96,6,"Economic Policy Institute (2), Universidad Autónoma de Madrid (2), Office of International Affairs (1)",Applied / Political Economy & Governance (6)
100,6,"Erasmus University Rotterdam (2), Institute for Fiscal Studies (1), University of Bristol (1)",Applied / Health Economics (6)
98,6,"Columbia University (2), University of Southern California (1), California Southern University (1)","Applied / Political Economy & Governance (3), Applied / Development Economics (3), Micro / Auctions & Market Design (2)"
99,6,"London School of Economics and Political Science (1), Graduate Institute of International and Development Studies (1), Center for Economic and Policy Research (1)","Applied / Labor Economics (4), Applied / International Trade (3)"
101,6,"Olive View-UCLA Medical Center (1), Ross School (1), Federal Trade Commission (1)",Applied / Development Economics (6)
102,6,"National Bureau of Economic Research (3), University of Cambridge (3)","Applied / Corporate & Household Finance (4), Applied / Labor Economics (3)"
103,6,"University of Rochester (1), University of Toronto (1), London School of Economics and Political Science (1)","Applied / Urban & Regional Economics (4), Macro / Financial Markets & Stability (3)"
104,6,,Applied / Labor Economics (6)
91,6,"National Bureau of Economic Research (3), Emory University (1), University of Victoria (1)","Macro / Financial Markets & Stability (4), Applied / Development Economics (3)"
88,6,"Western University (3), Carnegie Mellon University (1), Berea College (1)","Applied / Education Economics (4), Micro / Auctions & Market Design (3)"
89,6,"University of Chicago (3), University of Virginia (2), University of Missouri (1)","Applied / Other / Interdisciplinary (3), Applied / Corporate & Household Finance (2), Applied / Development Economics (2)"
80,6,"Centre for Economic Policy Research (2), University of Oxford (1), Arizona State University (1)",Macro / Financial Markets & Stability (6)
75,6,"Tinbergen Institute (2), University of Amsterdam (2), University of Geneva (1)","Applied / Other / Interdisciplinary (5), Micro / Behavioral & Experimental Economics (3)"
76,6,"Center for Economic and Policy Research (3), University of Arizona (3), Cornell University (3)",Micro / Industrial Organization & Competition (6)
77,6,"York University (2), University of Toronto (2), National Bureau of Economic Research (1)",Applied / Development Economics (6)
78,6,"BI Norwegian Business School (2), University of California, Davis (1), The University of Texas at Austin (1)","Macro / Financial Markets & Stability (4), Macro / Monetary Policy & Central Banking (3)"
79,6,"National Bureau of Economic Research (2), Harvard University (2), University of Michigan (2)",Applied / Health Economics (6)
87,6,"Federal Reserve Bank of Chicago (1), Northwestern University (1), National Bureau of Economic Research (1)","Applied / Labor Economics (3), Micro / Auctions & Market Design (3), Applied / Other / Interdisciplinary (2)"
81,6,"University of Michigan (1), Claremont McKenna College (1), Copenhagen Business School (1)","Applied / Corporate & Household Finance (4), Macro / Financial Markets & Stability (3)"
83,6,"University of Pittsburgh (2), University of Southern California (1), Center for Economic and Policy Research (1)","Applied / Public Finance & Taxation (4), Macro / Fiscal Policy (3)"
84,6,"Queen Mary University of London (2), Instituto Tecnológico Autónomo de México (1), Deakin University (1)","Applied / Education Economics (5), Micro / Game Theory & Mechanism Design (3)"
85,6,"Université de Montréal (3), Health Education Council (1), Centre Pour La Recherche Economique et ses Applications (1)",Applied / Education Economics (6)
86,6,"UNSW Sydney (3), Centre for Economic Policy Research (3), Institut d'Etudes Politiques de Paris (1)","Applied / Development Economics (4), Applied / Political Economy & Governance (3)"
82,6,"National Bureau of Economic Research (3), Oberlin College (1), Center for Economic and Policy Research (1)","Applied / Health Economics (5), Applied / Economic History (2)"
129,5,"University of Maryland, College Park (1), Duke University (1), United States Census Bureau (1)","Applied / Environmental & Energy Economics (3), Applied / Labor Economics (3)"
123,5,"Princeton University (1), Federal Reserve Bank of New York (1), Tsinghua University (1)","Econometrics / Machine Learning in Economics (4), Applied / Corporate & Household Finance (2)"
124,5,"University of Essex (3), Institució Catalana de Recerca i Estudis Avançats (3), Barcelona School of Economics (3)","Applied / International Trade (4), Applied / Labor Economics (4), Applied / Corporate & Household Finance (2)"
125,5,"Koblenz University of Applied Sciences (5), Johannes Gutenberg University Mainz (5), University of Zurich (5)",Applied / Other / Interdisciplinary (5)
126,5,"Yale University (2), New School (1)","Micro / Industrial Organization & Competition (5), Micro / Auctions & Market Design (2)"
127,5,"University of Chicago (3), JPMorgan Chase & Co (United States) (2)","Applied / Labor Economics (5), Macro / Financial Markets & Stability (2)"
128,5,"University of Wisconsin–Madison (1), Madison Group (United States) (1), University of California, Berkeley (1)","Micro / Behavioral & Experimental Economics (4), Micro / Industrial Organization & Competition (2)"
132,5,"University of Southampton (2), Federal Reserve Bank of Atlanta (2), Emory University (2)","Econometrics / Machine Learning in Economics (3), Econometrics / Statistical & Bayesian Methods (3)"
130,5,"University of California, Los Angeles (2), University of Rochester (1), Stockholm School of Economics (1)",Macro / Financial Markets & Stability (5)
131,5,"Australian National University (2), Stanford University (1), City University of Hong Kong (1)","Macro / Business Cycles & Growth (3), Macro / Financial Markets & Stability (3)"
121,5,"Monash University (5), Center for Economic and Policy Research (4), Economic Policy Institute (3)","Applied / Education Economics (4), Micro / Industrial Organization & Competition (3)"
134,5,"Shanghai Jiao Tong University (1), Boston College (1), Rice University (1)","Applied / Education Economics (3), Applied / Political Economy & Governance (3)"
135,5,"SGH Warsaw School of Economics (2), Humboldt-Universität zu Berlin (1), WZB Berlin Social Science Center (1)",Applied / Labor Economics (5)
136,5,"University of California System (2), University of California, Berkeley (2), Columbia University (1)","Applied / Development Economics (3), Applied / Urban & Regional Economics (3)"
138,5,"İzmir University of Economics (1), Norwegian School of Economics (1), University College London (1)","Applied / Labor Economics (3), Applied / Education Economics (3)"
122,5,"Center for Economic and Policy Research (2), University of Bergamo (1), American University (1)",Applied / Development Economics (5)
137,5,"Duke University (1), University of Oregon (1), University of Illinois Chicago (1)",Applied / Urban & Regional Economics (5)
120,5,"Augsburg University (5), Ifo Institute for Economic Research (5), Tilburg University (5)",Micro / Behavioral & Experimental Economics (5)
111,5,"Ludwig-Maximilians-Universität München (4), Pennsylvania State University (3), Hitotsubashi University (3)","Micro / Behavioral & Experimental Economics (4), Applied / Education Economics (3), Applied / Political Economy & Governance (3)"
119,5,"New York University (2), Indiana University (2), Indiana University – Purdue University Indianapolis (1)",Applied / International Trade (5)
105,5,"University of Virginia (2), Zhejiang University of Finance and Economics (1), Swiss Finance Institute (1)","Econometrics / Machine Learning in Economics (3), Macro / Financial Markets & Stability (3)"
106,5,"Centre for European Economic Research (2), Center for Economic and Policy Research (2), Universitat Pompeu Fabra (1)",Applied / Labor Economics (5)
107,5,"University of Chicago (5), New York University (3)","Econometrics / Time Series & Panel Data Methods (3), Econometrics / Statistical & Bayesian Methods (3)"
108,5,"Copenhagen Business School (2), National University of Singapore (1), University of Pennsylvania (1)",Macro / Financial Markets & Stability (5)
109,5,"National Bureau of Economic Research (3), University of Wisconsin–Madison (3), University of California, Los Angeles (3)","Applied / International Trade (3), Applied / Labor Economics (3)"
110,5,"Hindustan Petroleum Corporation Limited (India) (1), University of Hong Kong (1), Center for Economic and Policy Research (1)","Applied / Development Economics (3), Applied / International Trade (3)"
133,5,"London School of Economics and Political Science (2), Vanderbilt University (1), Florida State University (1)",Micro / Auctions & Market Design (5)
112,5,"University of Bristol (1), Michigan Department of Environment, Great Lakes, and Energy (1), University of Michigan (1)","Applied / Labor Economics (5), Micro / General Economic Theory (2)"
113,5,"University of Music Lausanne (1), University of Lausanne (1), Carnegie Mellon University (1)","Applied / Health Economics (3), Applied / Labor Economics (3)"
114,5,"National University of Singapore (1), UNSW Sydney (1), The University of Melbourne (1)",Micro / Auctions & Market Design (5)
115,5,"London School of Economics and Political Science (2), New York University (1), Peking University (1)","Macro / Financial Markets & Stability (3), Macro / Monetary Policy & Central Banking (2), Micro / General Economic Theory (2)"
116,5,"National Bureau of Economic Research (2), New York University Abu Dhabi (1), Luxembourg Institute of Socio-Economic Research (1)",Applied / Labor Economics (5)
117,5,"United States Department of the Treasury (1), Yale University (1), Banco Central de Chile (1)","Applied / Labor Economics (3), Applied / Education Economics (3)"
118,5,"Kyoto University (1), Center for Economic and Policy Research (1), National Graduate Institute for Policy Studies (1)","Applied / Environmental & Energy Economics (3), Applied / Labor Economics (3)"
186,4,"Imperial College London (2), University of Virginia (1), NIHR Imperial Biomedical Research Centre (1)",Applied / Environmental & Energy Economics (4)
192,4,"Cornell University (3), University of Rochester (1)","Micro / Industrial Organization & Competition (4), Econometrics / Time Series & Panel Data Methods (1)"
191,4,"Bank for International Settlements (4), Vrije Universiteit Amsterdam (4), De Nederlandsche Bank (4)",Macro / Business Cycles & Growth (4)
190,4,"Economic Research Centre (4), University of Edinburgh (4), Nordic Institute for Studies in Innovation, Research and Education (3)",Applied / Labor Economics (4)
189,4,"University of Southern Denmark (1), Miami University (1), Emory University (1)",Applied / Health Economics (4)
188,4,"Duke University (4), University of Washington (4), Duke Kunshan University (4)",Applied / Environmental & Energy Economics (4)
187,4,"University of Southampton (1), Center for Economic and Policy Research (1), Virginia Commonwealth University (1)",Applied / Labor Economics (4)
183,4,"Massachusetts Institute of Technology (2), Utrecht University (1), Northwestern University (1)",Applied / Labor Economics (4)
