topic,subfield,field,domain,paper_count
Auction Theory and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,80
Economic theories and models,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,73
Fiscal Policy and Economic Growth,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,68
Diverse Scientific and Economic Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,67
Labor market dynamics and wage inequality,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,64
Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,61
Global trade and economics,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,56
"Banking stability, regulation, efficiency",Finance,"Economics, Econometrics and Finance",Social Sciences,46
Experimental Behavioral Economics Studies,Safety Research,Social Sciences,Social Sciences,42
"Financial Literacy, Pension, Retirement Analysis",Accounting,"Business, Management and Accounting",Social Sciences,40
Consumer Market Behavior and Pricing,Marketing,"Business, Management and Accounting",Social Sciences,40
Game Theory and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,40
"Gender, Labor, and Family Dynamics",Gender Studies,Social Sciences,Social Sciences,35
Decision-Making and Behavioral Economics,General Decision Sciences,Decision Sciences,Social Sciences,34
"Culture, Economy, and Development Studies",Demography,Social Sciences,Social Sciences,32
Global Financial Crisis and Policies,Finance,"Economics, Econometrics and Finance",Social Sciences,30
School Choice and Performance,Education,Social Sciences,Social Sciences,27
Corporate Finance and Governance,Accounting,"Business, Management and Accounting",Social Sciences,26
Human auditory perception and evaluation,Aerospace Engineering,Engineering,Physical Sciences,25
Financial Markets and Investment Strategies,Finance,"Economics, Econometrics and Finance",Social Sciences,25
Economic Growth and Productivity,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,25
Healthcare Policy and Management,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,25
Housing Market and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,24
Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,24
Legal principles and applications,Law,Social Sciences,Social Sciences,24
Game Theory and Voting Systems,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,23
Media Influence and Politics,Sociology and Political Science,Social Sciences,Social Sciences,22
Employment and Welfare Studies,General Health Professions,Health Professions,Health Sciences,18
"Law, Economics, and Judicial Systems",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,17
Economic Theory and Policy,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,16
Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,15
Intergenerational and Educational Inequality Studies,Sociology and Political Science,Social Sciences,Social Sciences,14
Economic Theory and Institutions,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,14
Regional Economics and Spatial Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,14
Economic and Environmental Valuation,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,13
Firm Innovation and Growth,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,13
Digital Platforms and Economics,Strategy and Management,"Business, Management and Accounting",Social Sciences,13
Electoral Systems and Political Participation,Political Science and International Relations,Social Sciences,Social Sciences,12
Market Dynamics and Volatility,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,12
"Urban, Neighborhood, and Segregation Studies",Sociology and Political Science,Social Sciences,Social Sciences,12
Taxation and Compliance Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,12
Migration and Labor Dynamics,Sociology and Political Science,Social Sciences,Social Sciences,12
"Poverty, Education, and Child Welfare",Safety Research,Social Sciences,Social Sciences,11
"Names, Identity, and Discrimination Research",Sociology and Political Science,Social Sciences,Social Sciences,11
Corporate Taxation and Avoidance,Accounting,"Business, Management and Accounting",Social Sciences,11
Global Health Care Issues,General Health Professions,Health Professions,Health Sciences,11
"Income, Poverty, and Inequality",Sociology and Political Science,Social Sciences,Social Sciences,10
Microfinance and Financial Inclusion,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,10
Fiscal Policies and Political Economy,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,10
Historical Economic and Social Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,9
Economic and Technological Developments in Russia,Development,Social Sciences,Social Sciences,9
Merger and Competition Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,9
Climate Change Policy and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,9
"Retirement, Disability, and Employment",Demography,Social Sciences,Social Sciences,9
"Energy, Environment, and Transportation Policies","Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences,8
Opinion Dynamics and Social Influence,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences,7
Early Childhood Education and Development,Education,Social Sciences,Social Sciences,7
Advanced Bandit Algorithms Research,Management Science and Operations Research,Decision Sciences,Social Sciences,7
"Crime, Illicit Activities, and Governance",Sociology and Political Science,Social Sciences,Social Sciences,7
Land Rights and Reforms,Soil Science,Agricultural and Biological Sciences,Life Sciences,7
Innovation Policy and R&D,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,7
China's Socioeconomic Reforms and Governance,Political Science and International Relations,Social Sciences,Social Sciences,7
Economics of Agriculture and Food Markets,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,6
Complex Network Analysis Techniques,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences,6
Economic Policies and Impacts,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,6
Gender Politics and Representation,Gender Studies,Social Sciences,Social Sciences,6
Corruption and Economic Development,Sociology and Political Science,Social Sciences,Social Sciences,6
Higher Education Research Studies,Education,Social Sciences,Social Sciences,6
Islamic Finance and Banking Studies,Accounting,"Business, Management and Accounting",Social Sciences,5
Corporate Insolvency and Governance,Accounting,"Business, Management and Accounting",Social Sciences,5
Agricultural risk and resilience,Soil Science,Agricultural and Biological Sciences,Life Sciences,5
Italy: Economic History and Contemporary Issues,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,4
Air Quality and Health Impacts,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,4
Pharmaceutical Economics and Policy,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,4
Insurance and Financial Risk Management,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,4
Supply Chain Resilience and Risk Management,Strategy and Management,"Business, Management and Accounting",Social Sciences,4
Credit Risk and Financial Regulations,Finance,"Economics, Econometrics and Finance",Social Sciences,4
Labor Movements and Unions,Public Administration,Social Sciences,Social Sciences,4
Opioid Use Disorder Treatment,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,4
Transportation and Mobility Innovations,Automotive Engineering,Engineering,Physical Sciences,4
Intergenerational Family Dynamics and Caregiving,Sociology and Political Science,Social Sciences,Social Sciences,4
"Populism, Right-Wing Movements",Political Science and International Relations,Social Sciences,Social Sciences,4
Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,3
Global Trade and Competitiveness,Strategy and Management,"Business, Management and Accounting",Social Sciences,3
COVID-19 Pandemic Impacts,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,3
German Economic Analysis & Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,3
Intellectual Property and Patents,Management of Technology and Innovation,"Business, Management and Accounting",Social Sciences,3
Financial Risk and Volatility Modeling,Finance,"Economics, Econometrics and Finance",Social Sciences,3
Demographic Trends and Gender Preferences,Gender Studies,Social Sciences,Social Sciences,3
"Health Systems, Economic Evaluations, Quality of Life",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,3
Regional Development and Policy,Political Science and International Relations,Social Sciences,Social Sciences,3
"Migration, Ethnicity, and Economy",Sociology and Political Science,Social Sciences,Social Sciences,3
Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,3
Education Systems and Policy,Education,Social Sciences,Social Sciences,3
Complex Systems and Time Series Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,3
Education and experiences of immigrants and refugees,Education,Social Sciences,Social Sciences,3
Organ Donation and Transplantation,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,3
Criminal Justice and Corrections Analysis,Sociology and Political Science,Social Sciences,Social Sciences,3
"Defense, Military, and Policy Studies",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,3
Local Government Finance and Decentralization,Political Science and International Relations,Social Sciences,Social Sciences,3
COVID-19 epidemiological studies,Modeling and Simulation,Mathematics,Physical Sciences,3
Risk and Portfolio Optimization,Management Science and Operations Research,Decision Sciences,Social Sciences,3
Electric Power System Optimization,Electrical and Electronic Engineering,Engineering,Physical Sciences,3
Policing Practices and Perceptions,Political Science and International Relations,Social Sciences,Social Sciences,3
Energy and Environment Impacts,Pollution,Environmental Science,Physical Sciences,3
Political Influence and Corporate Strategies,Strategy and Management,"Business, Management and Accounting",Social Sciences,3
"Migration, Refugees, and Integration",Sociology and Political Science,Social Sciences,Social Sciences,3
"Birth, Development, and Health","Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,3
"Economic, financial, and policy analysis","General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,2
Evolutionary Game Theory and Cooperation,Sociology and Political Science,Social Sciences,Social Sciences,2
Innovations in Educational Methods,Education,Social Sciences,Social Sciences,2
Global Energy and Sustainability Research,"Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences,2
"Global trade, sustainability, and social impact",Strategy and Management,"Business, Management and Accounting",Social Sciences,2
Global Maternal and Child Health,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,2
Private Equity and Venture Capital,Accounting,"Business, Management and Accounting",Social Sciences,2
Healthcare Systems and Reforms,Finance,"Economics, Econometrics and Finance",Social Sciences,2
Water resources management and optimization,Ocean Engineering,Engineering,Physical Sciences,2
State Capitalism and Financial Governance,Strategy and Management,"Business, Management and Accounting",Social Sciences,2
Sharing Economy and Platforms,Marketing,"Business, Management and Accounting",Social Sciences,2
Sustainable Finance and Green Bonds,Finance,"Economics, Econometrics and Finance",Social Sciences,2
Italian Fascism and Post-war Society,Sociology and Political Science,Social Sciences,Social Sciences,2
"Race, History, and American Society",Sociology and Political Science,Social Sciences,Social Sciences,2
Machine Learning and Algorithms,Artificial Intelligence,Computer Science,Physical Sciences,2
Higher Education Governance and Development,Political Science and International Relations,Social Sciences,Social Sciences,2
Blockchain Technology Applications and Security,Information Systems,Computer Science,Physical Sciences,2
Parental Involvement in Education,Education,Social Sciences,Social Sciences,2
Computational and Text Analysis Methods,General Social Sciences,Social Sciences,Social Sciences,2
Cognitive Abilities and Testing,Experimental and Cognitive Psychology,Psychology,Social Sciences,2
Forecasting Techniques and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,2
Fire effects on ecosystems,Global and Planetary Change,Environmental Science,Physical Sciences,2
Gender Diversity and Inequality,Gender Studies,Social Sciences,Social Sciences,2
Climate variability and models,Global and Planetary Change,Environmental Science,Physical Sciences,2
Economic Sanctions and International Relations,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,2
Bayesian Modeling and Causal Inference,Artificial Intelligence,Computer Science,Physical Sciences,2
Aviation Industry Analysis and Trends,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,2
International Business and FDI,Strategy and Management,"Business, Management and Accounting",Social Sciences,2
Diverse Perspectives in Modern Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,2
Health disparities and outcomes,Health,Social Sciences,Social Sciences,2
Social Policy and Reform Studies,Political Science and International Relations,Social Sciences,Social Sciences,2
Advanced Queuing Theory Analysis,Management Information Systems,"Business, Management and Accounting",Social Sciences,2
Sustainable Development and Environmental Policy,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences,2
Urbanization and City Planning,Urban Studies,Social Sciences,Social Sciences,1
Asian Industrial and Economic Development,Political Science and International Relations,Social Sciences,Social Sciences,1
Risk Perception and Management,Sociology and Political Science,Social Sciences,Social Sciences,1
Communication in Education and Healthcare,Social Psychology,Psychology,Social Sciences,1
Job Satisfaction and Organizational Behavior,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences,1
"Gender, Security, and Conflict",Gender Studies,Social Sciences,Social Sciences,1
Social Media and Politics,Communication,Social Sciences,Social Sciences,1
Blind Source Separation Techniques,Signal Processing,Computer Science,Physical Sciences,1
Child Abuse and Trauma,Clinical Psychology,Psychology,Social Sciences,1
scientometrics and bibliometrics research,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences,1
Human Resource and Talent Management,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences,1
Evaluation and Performance Assessment,Management Science and Operations Research,Decision Sciences,Social Sciences,1
Youth Development and Social Support,Safety Research,Social Sciences,Social Sciences,1
Gender Roles and Identity Studies,Gender Studies,Social Sciences,Social Sciences,1
Stochastic Gradient Optimization Techniques,Artificial Intelligence,Computer Science,Physical Sciences,1
Vaccine Coverage and Hesitancy,Health,Social Sciences,Social Sciences,1
Child Welfare and Adoption,Safety Research,Social Sciences,Social Sciences,1
Global Socioeconomic and Political Dynamics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,1
AI and HR Technologies,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences,1
Educational Leadership and Practices,Education,Social Sciences,Social Sciences,1
Entrepreneurship Studies and Influences,Management of Technology and Innovation,"Business, Management and Accounting",Social Sciences,1
Political Philosophy and Ethics,Political Science and International Relations,Social Sciences,Social Sciences,1
Psychosocial Factors Impacting Youth,Sociology and Political Science,Social Sciences,Social Sciences,1
Ethics and Social Impacts of AI,Safety Research,Social Sciences,Social Sciences,1
Academic and Historical Perspectives in Psychology,General Psychology,Psychology,Social Sciences,1
International Science and Diplomacy,Political Science and International Relations,Social Sciences,Social Sciences,1
Misinformation and Its Impacts,Sociology and Political Science,Social Sciences,Social Sciences,1
Gambling Behavior and Treatments,Clinical Psychology,Psychology,Social Sciences,1
Dispute Resolution and Class Actions,Strategy and Management,"Business, Management and Accounting",Social Sciences,1
Gun Ownership and Violence Research,Health,Social Sciences,Social Sciences,1
Digital Economy and Work Transformation,Sociology and Political Science,Social Sciences,Social Sciences,1
Deception detection and forensic psychology,Social Psychology,Psychology,Social Sciences,1
International Development and Aid,Development,Social Sciences,Social Sciences,1
Social Capital and Networks,Sociology and Political Science,Social Sciences,Social Sciences,1
Space Science and Extraterrestrial Life,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,1
Pesticide and Herbicide Environmental Studies,Pollution,Environmental Science,Physical Sciences,1
Diversity and Career in Medicine,Gender Studies,Social Sciences,Social Sciences,1
Occupational and Professional Licensing Regulation,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,1
Rangeland Management and Livestock Ecology,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences,1
Bayesian Methods and Mixture Models,Artificial Intelligence,Computer Science,Physical Sciences,1
Face and Expression Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,1
Community Health and Development,General Health Professions,Health Professions,Health Sciences,1
Urban and Rural Development Challenges,Urban Studies,Social Sciences,Social Sciences,1
Religion and Society Interactions,Sociology and Political Science,Social Sciences,Social Sciences,1
Homelessness and Social Issues,General Health Professions,Health Professions,Health Sciences,1
Global Cancer Incidence and Screening,Oncology,Medicine,Health Sciences,1
Work-Family Balance Challenges,Sociology and Political Science,Social Sciences,Social Sciences,1
Sleep and Work-Related Fatigue,Experimental and Cognitive Psychology,Psychology,Social Sciences,1
Online Learning and Analytics,Computer Science Applications,Computer Science,Physical Sciences,1
Legal Education and Practice Innovations,Law,Social Sciences,Social Sciences,1
Psychology of Moral and Emotional Judgment,Cognitive Neuroscience,Neuroscience,Life Sciences,1
Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,1
Older Adults Driving Studies,"Physical Therapy, Sports Therapy and Rehabilitation",Health Professions,Health Sciences,1
"Religion, Society, and Development",Sociology and Political Science,Social Sciences,Social Sciences,1
"Health, Environment, Cognitive Aging","Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,1
South Asian Cinema and Culture,Visual Arts and Performing Arts,Arts and Humanities,Social Sciences,1
"Insurance, Mortality, Demography, Risk Management",Demography,Social Sciences,Social Sciences,1
Sociopolitical Dynamics in Russia,Sociology and Political Science,Social Sciences,Social Sciences,1
Statistical Methods and Bayesian Inference,Statistics and Probability,Mathematics,Physical Sciences,1
Economic Growth and Development,Information Systems,Computer Science,Physical Sciences,1
"Politics and Conflicts in Afghanistan, Pakistan, and Middle East",Political Science and International Relations,Social Sciences,Social Sciences,1
Natural Resources and Economic Development,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,1
"Grit, Self-Efficacy, and Motivation",Social Psychology,Psychology,Social Sciences,1
Child and Adolescent Psychosocial and Emotional Development,Clinical Psychology,Psychology,Social Sciences,1
Technology and Education Systems,Computer Networks and Communications,Computer Science,Physical Sciences,1
Judicial and Constitutional Studies,Law,Social Sciences,Social Sciences,1
Neural Networks and Applications,Artificial Intelligence,Computer Science,Physical Sciences,1
Socioeconomic Development in MENA,Sociology and Political Science,Social Sciences,Social Sciences,1
"Terrorism, Counterterrorism, and Political Violence",Sociology and Political Science,Social Sciences,Social Sciences,1
ICT Impact and Policies,Media Technology,Engineering,Physical Sciences,1
Contemporary Sociological Theory and Practice,Sociology and Political Science,Social Sciences,Social Sciences,1
Public Procurement and Policy,Strategy and Management,"Business, Management and Accounting",Social Sciences,1
Transportation Planning and Optimization,Transportation,Social Sciences,Social Sciences,1
Regulation and Compliance Studies,Strategy and Management,"Business, Management and Accounting",Social Sciences,1
Indian Economic and Social Development,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,1
Education Discipline and Inequality,Education,Social Sciences,Social Sciences,1
European Monetary and Fiscal Policies,Finance,"Economics, Econometrics and Finance",Social Sciences,1
"FinTech, Crowdfunding, Digital Finance",Management Information Systems,"Business, Management and Accounting",Social Sciences,1
Academic Freedom and Politics,Political Science and International Relations,Social Sciences,Social Sciences,1
Psychological and Educational Research Studies,Experimental and Cognitive Psychology,Psychology,Social Sciences,1
"Optimism, Hope, and Well-being",Applied Psychology,Psychology,Social Sciences,1
"Energy, Environment, Economic Growth",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,1
Financial Reporting and Valuation Research,Strategy and Management,"Business, Management and Accounting",Social Sciences,1
Organizational Strategy and Culture,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences,1
Academic integrity and plagiarism,Safety Research,Social Sciences,Social Sciences,1
Coastal and Marine Management,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences,1
Urban Transport and Accessibility,Transportation,Social Sciences,Social Sciences,1
Animal Ecology and Behavior Studies,Ecology,Environmental Science,Physical Sciences,1
Flood Risk Assessment and Management,Global and Planetary Change,Environmental Science,Physical Sciences,1
Vietnamese History and Culture Studies,Sociology and Political Science,Social Sciences,Social Sciences,1
Climate Change Communication and Perception,Sociology and Political Science,Social Sciences,Social Sciences,1
Impact of Technology on Adolescents,Sociology and Political Science,Social Sciences,Social Sciences,1
Advanced Optimization Algorithms Research,Numerical Analysis,Mathematics,Physical Sciences,1
Innovation and Socioeconomic Development,Business and International Management,"Business, Management and Accounting",Social Sciences,1
"Politics, Economics, and Education Policy",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,1
Neural Networks and Reservoir Computing,Artificial Intelligence,Computer Science,Physical Sciences,1
Seed and Plant Biochemistry,Food Science,Agricultural and Biological Sciences,Life Sciences,1
"Housing, Finance, and Neoliberalism",Finance,"Economics, Econometrics and Finance",Social Sciences,1
Social and Cultural Dynamics,Sociology and Political Science,Social Sciences,Social Sciences,1
Innovation and Knowledge Management,Strategy and Management,"Business, Management and Accounting",Social Sciences,1
Education Methods and Practices,Education,Social Sciences,Social Sciences,1
Sports Analytics and Performance,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,1
Child and Adolescent Health,General Health Professions,Health Professions,Health Sciences,1
Stochastic processes and financial applications,Finance,"Economics, Econometrics and Finance",Social Sciences,1
Information Retrieval and Search Behavior,Information Systems,Computer Science,Physical Sciences,1
Mental Health and Psychiatry,Philosophy,Arts and Humanities,Social Sciences,1
Scheduling and Optimization Algorithms,Industrial and Manufacturing Engineering,Engineering,Physical Sciences,1
Prenatal Screening and Diagnostics,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,1
Air Traffic Management and Optimization,Aerospace Engineering,Engineering,Physical Sciences,1
Family Dynamics and Relationships,Demography,Social Sciences,Social Sciences,1
Child Development and Digital Technology,Education,Social Sciences,Social Sciences,1
Food Security and Health in Diverse Populations,General Health Professions,Health Professions,Health Sciences,1
Assisted Reproductive Technology and Twin Pregnancy,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,1
"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,1
Cultural Differences and Values,Social Psychology,Psychology,Social Sciences,1
Consumer Retail Behavior Studies,Marketing,"Business, Management and Accounting",Social Sciences,1
Behavioral Health and Interventions,Applied Psychology,Psychology,Social Sciences,1
"Auditing, Earnings Management, Governance",Accounting,"Business, Management and Accounting",Social Sciences,1
Economic and Technological Innovation,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,1
Social Power and Status Dynamics,Sociology and Political Science,Social Sciences,Social Sciences,1
Privacy-Preserving Technologies in Data,Artificial Intelligence,Computer Science,Physical Sciences,1
Markov Chains and Monte Carlo Methods,Statistics and Probability,Mathematics,Physical Sciences,1
Geriatric Care and Nursing Homes,General Health Professions,Health Professions,Health Sciences,1
Innovation Diffusion and Forecasting,Management Science and Operations Research,Decision Sciences,Social Sciences,1
Fuzzy Systems and Optimization,Statistics and Probability,Mathematics,Physical Sciences,1
Advanced Statistical Process Monitoring,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences,1
Probabilistic and Robust Engineering Design,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences,1
Mobile Crowdsensing and Crowdsourcing,Computer Science Applications,Computer Science,Physical Sciences,1
