level1,level2,level3,paper_count
Micro,Auctions & Market Design,Auction Theory and Applications,80
Micro,General Economic Theory,Economic theories and models,73
Macro,Fiscal Policy,Fiscal Policy and Economic Growth,68
Applied,Other / Interdisciplinary,Diverse Scientific and Economic Studies,67
Applied,Labor Economics,Labor market dynamics and wage inequality,64
Macro,Monetary Policy & Central Banking,Monetary Policy and Economic Impact,61
Applied,International Trade,Global trade and economics,56
Macro,Financial Markets & Stability,"Banking stability, regulation, efficiency",46
Micro,Behavioral & Experimental Economics,Experimental Behavioral Economics Studies,42
Micro,Industrial Organization & Competition,Consumer Market Behavior and Pricing,40
Micro,Game Theory & Mechanism Design,Game Theory and Applications,40
Applied,Corporate & Household Finance,"Financial Literacy, Pension, Retirement Analysis",40
Applied,Labor Economics,"Gender, Labor, and Family Dynamics",35
Micro,Behavioral & Experimental Economics,Decision-Making and Behavioral Economics,34
Applied,Development Economics,"Culture, Economy, and Development Studies",32
Macro,Financial Markets & Stability,Global Financial Crisis and Policies,30
Applied,Education Economics,School Choice and Performance,27
Applied,Corporate & Household Finance,Corporate Finance and Governance,26
Applied,Other / Interdisciplinary,Human auditory perception and evaluation,25
Macro,Financial Markets & Stability,Financial Markets and Investment Strategies,25
Applied,Health Economics,Healthcare Policy and Management,25
Macro,Business Cycles & Growth,Economic Growth and Productivity,25
Applied,Political Economy & Governance,Legal principles and applications,24
Econometrics,Causal Inference & Identification,Advanced Causal Inference Techniques,24
Macro,Financial Markets & Stability,Housing Market and Economics,24
Micro,Game Theory & Mechanism Design,Game Theory and Voting Systems,23
Applied,Political Economy & Governance,Media Influence and Politics,22
Applied,Labor Economics,Employment and Welfare Studies,18
Applied,Political Economy & Governance,"Law, Economics, and Judicial Systems",17
Micro,General Economic Theory,Economic Theory and Policy,16
Econometrics,Statistical & Bayesian Methods,Statistical Methods and Inference,15
Applied,Education Economics,Intergenerational and Educational Inequality Studies,14
Applied,Urban & Regional Economics,Regional Economics and Spatial Analysis,14
Micro,General Economic Theory,Economic Theory and Institutions,14
Micro,Industrial Organization & Competition,Firm Innovation and Growth,13
Micro,Industrial Organization & Competition,Digital Platforms and Economics,13
Applied,Environmental & Energy Economics,Economic and Environmental Valuation,13
Applied,Labor Economics,Migration and Labor Dynamics,12
Applied,Urban & Regional Economics,"Urban, Neighborhood, and Segregation Studies",12
Applied,Public Finance & Taxation,Taxation and Compliance Studies,12
Macro,Financial Markets & Stability,Market Dynamics and Volatility,12
Applied,Political Economy & Governance,Electoral Systems and Political Participation,12
Applied,Health Economics,Global Health Care Issues,11
Applied,Development Economics,"Poverty, Education, and Child Welfare",11
Applied,Labor Economics,"Names, Identity, and Discrimination Research",11
Applied,Public Finance & Taxation,Corporate Taxation and Avoidance,11
Applied,Development Economics,Microfinance and Financial Inclusion,10
Macro,Fiscal Policy,Fiscal Policies and Political Economy,10
Applied,Development Economics,"Income, Poverty, and Inequality",10
Applied,Labor Economics,"Retirement, Disability, and Employment",9
Micro,Industrial Organization & Competition,Merger and Competition Analysis,9
Applied,Development Economics,Economic and Technological Developments in Russia,9
Applied,Environmental & Energy Economics,Climate Change Policy and Economics,9
Applied,Economic History,Historical Economic and Social Studies,9
Applied,Environmental & Energy Economics,"Energy, Environment, and Transportation Policies",8
Applied,Political Economy & Governance,"Crime, Illicit Activities, and Governance",7
Econometrics,Machine Learning in Economics,Advanced Bandit Algorithms Research,7
Applied,Education Economics,Early Childhood Education and Development,7
Applied,Development Economics,Land Rights and Reforms,7
Applied,Other / Interdisciplinary,Opinion Dynamics and Social Influence,7
Applied,Development Economics,China's Socioeconomic Reforms and Governance,7
Micro,Industrial Organization & Competition,Innovation Policy and R&D,7
Macro,Business Cycles & Growth,Economic Policies and Impacts,6
Applied,Political Economy & Governance,Gender Politics and Representation,6
Applied,Development Economics,Economics of Agriculture and Food Markets,6
Econometrics,Statistical & Bayesian Methods,Complex Network Analysis Techniques,6
Applied,Development Economics,Corruption and Economic Development,6
Applied,Education Economics,Higher Education Research Studies,6
Applied,Corporate & Household Finance,Islamic Finance and Banking Studies,5
Applied,Development Economics,Agricultural risk and resilience,5
Applied,Corporate & Household Finance,Corporate Insolvency and Governance,5
Applied,Labor Economics,Labor Movements and Unions,4
Macro,Financial Markets & Stability,Credit Risk and Financial Regulations,4
Applied,Labor Economics,Intergenerational Family Dynamics and Caregiving,4
Applied,Health Economics,Pharmaceutical Economics and Policy,4
Applied,Health Economics,Opioid Use Disorder Treatment,4
Applied,Political Economy & Governance,"Populism, Right-Wing Movements",4
Applied,Urban & Regional Economics,Transportation and Mobility Innovations,4
Macro,Financial Markets & Stability,Insurance and Financial Risk Management,4
Micro,Industrial Organization & Competition,Supply Chain Resilience and Risk Management,4
Applied,Environmental & Energy Economics,Air Quality and Health Impacts,4
Applied,Economic History,Italy: Economic History and Contemporary Issues,4
Applied,Political Economy & Governance,"Defense, Military, and Policy Studies",3
Applied,Labor Economics,Education and experiences of immigrants and refugees,3
Applied,Political Economy & Governance,Political Influence and Corporate Strategies,3
Applied,Political Economy & Governance,Policing Practices and Perceptions,3
Applied,Public Finance & Taxation,Local Government Finance and Decentralization,3
Applied,Political Economy & Governance,Criminal Justice and Corrections Analysis,3
Applied,Labor Economics,"Migration, Ethnicity, and Economy",3
Applied,Urban & Regional Economics,Regional Development and Policy,3
Econometrics,Statistical & Bayesian Methods,Advanced Statistical Methods and Models,3
Econometrics,Time Series & Panel Data Methods,Spatial and Panel Data Analysis,3
Econometrics,Time Series & Panel Data Methods,Complex Systems and Time Series Analysis,3
Applied,Labor Economics,"Migration, Refugees, and Integration",3
Applied,Labor Economics,Demographic Trends and Gender Preferences,3
Applied,Health Economics,Organ Donation and Transplantation,3
Applied,Environmental & Energy Economics,Energy and Environment Impacts,3
Applied,Education Economics,Education Systems and Policy,3
Applied,Health Economics,"Birth, Development, and Health",3
Applied,International Trade,Global Trade and Competitiveness,3
Applied,Health Economics,COVID-19 Pandemic Impacts,3
Macro,Business Cycles & Growth,German Economic Analysis & Policies,3
Micro,Industrial Organization & Competition,Intellectual Property and Patents,3
Applied,Corporate & Household Finance,Risk and Portfolio Optimization,3
Applied,Health Economics,COVID-19 epidemiological studies,3
Macro,Financial Markets & Stability,Financial Risk and Volatility Modeling,3
Applied,Health Economics,"Health Systems, Economic Evaluations, Quality of Life",3
Applied,Environmental & Energy Economics,Electric Power System Optimization,3
Applied,Economic History,Italian Fascism and Post-war Society,2
Applied,International Trade,"Global trade, sustainability, and social impact",2
Applied,International Trade,International Business and FDI,2
Applied,Corporate & Household Finance,Blockchain Technology Applications and Security,2
Applied,Environmental & Energy Economics,Fire effects on ecosystems,2
Applied,Other / Interdisciplinary,Diverse Perspectives in Modern Studies,2
Econometrics,Statistical & Bayesian Methods,Advanced Queuing Theory Analysis,2
Micro,Industrial Organization & Competition,Aviation Industry Analysis and Trends,2
Applied,Economic History,"Race, History, and American Society",2
Applied,Other / Interdisciplinary,Cognitive Abilities and Testing,2
Econometrics,Machine Learning in Economics,Machine Learning and Algorithms,2
Applied,Education Economics,Higher Education Governance and Development,2
Econometrics,Machine Learning in Economics,Computational and Text Analysis Methods,2
Applied,Education Economics,Innovations in Educational Methods,2
Applied,Environmental & Energy Economics,Climate variability and models,2
Econometrics,Causal Inference & Identification,Bayesian Modeling and Causal Inference,2
Micro,Game Theory & Mechanism Design,Evolutionary Game Theory and Cooperation,2
Applied,Environmental & Energy Economics,Global Energy and Sustainability Research,2
Applied,Education Economics,Parental Involvement in Education,2
Macro,Financial Markets & Stability,State Capitalism and Financial Governance,2
Applied,Health Economics,Health disparities and outcomes,2
Macro,Business Cycles & Growth,"Economic, financial, and policy analysis",2
Applied,International Trade,Economic Sanctions and International Relations,2
Applied,Health Economics,Healthcare Systems and Reforms,2
Applied,Environmental & Energy Economics,Sustainable Development and Environmental Policy,2
Applied,Environmental & Energy Economics,Sustainable Finance and Green Bonds,2
Applied,Environmental & Energy Economics,Water resources management and optimization,2
Econometrics,Time Series & Panel Data Methods,Forecasting Techniques and Applications,2
Applied,Labor Economics,Gender Diversity and Inequality,2
Applied,Political Economy & Governance,Social Policy and Reform Studies,2
Applied,Corporate & Household Finance,Private Equity and Venture Capital,2
Micro,Industrial Organization & Competition,Sharing Economy and Platforms,2
Applied,Health Economics,Global Maternal and Child Health,2
Applied,Urban & Regional Economics,Transportation Planning and Optimization,1
Applied,Political Economy & Governance,Social Media and Politics,1
Micro,Industrial Organization & Competition,Economic and Technological Innovation,1
Applied,Public Finance & Taxation,Public Procurement and Policy,1
Applied,Urban & Regional Economics,Air Traffic Management and Optimization,1
Applied,Political Economy & Governance,Sociopolitical Dynamics in Russia,1
Applied,Political Economy & Governance,"Terrorism, Counterterrorism, and Political Violence",1
Applied,Urban & Regional Economics,Urban Transport and Accessibility,1
Micro,Industrial Organization & Competition,Entrepreneurship Studies and Influences,1
Micro,Industrial Organization & Competition,Consumer Retail Behavior Studies,1
Micro,Industrial Organization & Competition,Innovation and Knowledge Management,1
Econometrics,Machine Learning in Economics,Privacy-Preserving Technologies in Data,1
Applied,Urban & Regional Economics,Urban and Rural Development Challenges,1
Econometrics,Statistical & Bayesian Methods,Blind Source Separation Techniques,1
Applied,Political Economy & Governance,Regulation and Compliance Studies,1
Macro,Business Cycles & Growth,Economic Growth and Development,1
Econometrics,Time Series & Panel Data Methods,Innovation Diffusion and Forecasting,1
Macro,Financial Markets & Stability,"Housing, Finance, and Neoliberalism",1
Econometrics,Statistical & Bayesian Methods,Statistical Methods and Bayesian Inference,1
Econometrics,Statistical & Bayesian Methods,Probabilistic and Robust Engineering Design,1
Econometrics,Statistical & Bayesian Methods,Markov Chains and Monte Carlo Methods,1
Econometrics,Statistical & Bayesian Methods,Fuzzy Systems and Optimization,1
Econometrics,Statistical & Bayesian Methods,Evaluation and Performance Assessment,1
Macro,Monetary Policy & Central Banking,European Monetary and Fiscal Policies,1
Econometrics,Statistical & Bayesian Methods,Bayesian Methods and Mixture Models,1
Micro,Behavioral & Experimental Economics,Risk Perception and Management,1
Econometrics,Statistical & Bayesian Methods,Advanced Statistical Process Monitoring,1
Econometrics,Machine Learning in Economics,Stochastic Gradient Optimization Techniques,1
Econometrics,Machine Learning in Economics,Scheduling and Optimization Algorithms,1
Econometrics,Machine Learning in Economics,Neural Networks and Reservoir Computing,1
Econometrics,Machine Learning in Economics,Neural Networks and Applications,1
Econometrics,Machine Learning in Economics,Mobile Crowdsensing and Crowdsourcing,1
Econometrics,Machine Learning in Economics,Information Retrieval and Search Behavior,1
Econometrics,Machine Learning in Economics,Advanced Optimization Algorithms Research,1
Micro,Behavioral & Experimental Economics,Gambling Behavior and Treatments,1
Applied,Urban & Regional Economics,Urbanization and City Planning,1
Applied,Corporate & Household Finance,"Auditing, Earnings Management, Governance",1
Applied,Other / Interdisciplinary,Ethics and Social Impacts of AI,1
Applied,Political Economy & Governance,"Politics and Conflicts in Afghanistan, Pakistan, and Middle East",1
Applied,Environmental & Energy Economics,Climate Change Communication and Perception,1
Applied,Environmental & Energy Economics,"Energy, Environment, Economic Growth",1
Applied,Environmental & Energy Economics,Flood Risk Assessment and Management,1
Applied,Environmental & Energy Economics,Natural Resources and Economic Development,1
Applied,Environmental & Energy Economics,Pesticide and Herbicide Environmental Studies,1
Applied,Environmental & Energy Economics,Rangeland Management and Livestock Ecology,1
Applied,Health Economics,Assisted Reproductive Technology and Twin Pregnancy,1
Applied,Health Economics,Behavioral Health and Interventions,1
Applied,Health Economics,Child and Adolescent Health,1
Applied,Health Economics,Community Health and Development,1
Applied,Health Economics,Diversity and Career in Medicine,1
Applied,Health Economics,Geriatric Care and Nursing Homes,1
Applied,Health Economics,Global Cancer Incidence and Screening,1
Applied,Health Economics,"Health, Environment, Cognitive Aging",1
Applied,Health Economics,Mental Health and Psychiatry,1
Applied,Health Economics,Prenatal Screening and Diagnostics,1
Applied,Health Economics,Vaccine Coverage and Hesitancy,1
Applied,Labor Economics,AI and HR Technologies,1
Applied,Labor Economics,Digital Economy and Work Transformation,1
Applied,Labor Economics,Family Dynamics and Relationships,1
Applied,Environmental & Energy Economics,Coastal and Marine Management,1
Applied,Education Economics,Technology and Education Systems,1
Applied,Political Economy & Governance,Political Philosophy and Ethics,1
Applied,Education Economics,"Politics, Economics, and Education Policy",1
Applied,Corporate & Household Finance,"FinTech, Crowdfunding, Digital Finance",1
Applied,Corporate & Household Finance,Financial Reporting and Valuation Research,1
Applied,Corporate & Household Finance,"Insurance, Mortality, Demography, Risk Management",1
Applied,Corporate & Household Finance,Stochastic processes and financial applications,1
Applied,Development Economics,Asian Industrial and Economic Development,1
Applied,Development Economics,Food Security and Health in Diverse Populations,1
Applied,Development Economics,Global Socioeconomic and Political Dynamics,1
Applied,Development Economics,ICT Impact and Policies,1
Applied,Development Economics,Indian Economic and Social Development,1
Applied,Development Economics,Innovation and Socioeconomic Development,1
Applied,Development Economics,International Development and Aid,1
Applied,Development Economics,"Religion, Society, and Development",1
Applied,Development Economics,Socioeconomic Development in MENA,1
Applied,Economic History,Vietnamese History and Culture Studies,1
Applied,Education Economics,Child Development and Digital Technology,1
Applied,Education Economics,Education Discipline and Inequality,1
Applied,Education Economics,Education Methods and Practices,1
Applied,Education Economics,Educational Leadership and Practices,1
Applied,Education Economics,Online Learning and Analytics,1
Applied,Labor Economics,Gender Roles and Identity Studies,1
Applied,Labor Economics,Human Resource and Talent Management,1
Applied,Labor Economics,Job Satisfaction and Organizational Behavior,1
Applied,Labor Economics,Occupational and Professional Licensing Regulation,1
Applied,Other / Interdisciplinary,Psychosocial Factors Impacting Youth,1
Applied,Other / Interdisciplinary,Religion and Society Interactions,1
Applied,Other / Interdisciplinary,Seed and Plant Biochemistry,1
Applied,Other / Interdisciplinary,Social Capital and Networks,1
Applied,Other / Interdisciplinary,Social Power and Status Dynamics,1
Applied,Other / Interdisciplinary,Social and Cultural Dynamics,1
Applied,Other / Interdisciplinary,South Asian Cinema and Culture,1
Applied,Other / Interdisciplinary,Space Science and Extraterrestrial Life,1
Applied,Other / Interdisciplinary,Sports Analytics and Performance,1
Applied,Other / Interdisciplinary,Youth Development and Social Support,1
Applied,Other / Interdisciplinary,scientometrics and bibliometrics research,1
Applied,Political Economy & Governance,Academic Freedom and Politics,1
Applied,Political Economy & Governance,Dispute Resolution and Class Actions,1
Applied,Political Economy & Governance,"Gender, Security, and Conflict",1
Applied,Political Economy & Governance,Gun Ownership and Violence Research,1
Applied,Political Economy & Governance,International Science and Diplomacy,1
Applied,Political Economy & Governance,Judicial and Constitutional Studies,1
Applied,Political Economy & Governance,Legal Education and Practice Innovations,1
Applied,Political Economy & Governance,Misinformation and Its Impacts,1
Applied,Other / Interdisciplinary,Psychology of Moral and Emotional Judgment,1
Applied,Other / Interdisciplinary,Psychological and Educational Research Studies,1
Applied,Other / Interdisciplinary,"Optimism, Hope, and Well-being",1
Applied,Other / Interdisciplinary,Child and Adolescent Psychosocial and Emotional Development,1
Applied,Labor Economics,Organizational Strategy and Culture,1
Applied,Labor Economics,Sleep and Work-Related Fatigue,1
Applied,Labor Economics,Work-Family Balance Challenges,1
Applied,Other / Interdisciplinary,Academic and Historical Perspectives in Psychology,1
Applied,Other / Interdisciplinary,Academic integrity and plagiarism,1
Applied,Other / Interdisciplinary,Animal Ecology and Behavior Studies,1
Applied,Other / Interdisciplinary,Child Abuse and Trauma,1
Applied,Other / Interdisciplinary,Child Welfare and Adoption,1
Applied,Other / Interdisciplinary,Communication in Education and Healthcare,1
Applied,Other / Interdisciplinary,Older Adults Driving Studies,1
Applied,Other / Interdisciplinary,Contemporary Sociological Theory and Practice,1
Applied,Other / Interdisciplinary,Cultural Differences and Values,1
Applied,Other / Interdisciplinary,Deception detection and forensic psychology,1
Applied,Other / Interdisciplinary,Face and Expression Recognition,1
Applied,Other / Interdisciplinary,"Genetics, Bioinformatics, and Biomedical Research",1
Applied,Other / Interdisciplinary,"Grit, Self-Efficacy, and Motivation",1
Applied,Other / Interdisciplinary,Homelessness and Social Issues,1
Applied,Other / Interdisciplinary,Impact of Technology on Adolescents,1
Micro,Industrial Organization & Competition,Technology Adoption and User Behaviour,1
