topic,level1,level2
"Auditing, Earnings Management, Governance",Applied,Corporate & Household Finance
Blockchain Technology Applications and Security,Applied,Corporate & Household Finance
Corporate Finance and Governance,Applied,Corporate & Household Finance
Corporate Insolvency and Governance,Applied,Corporate & Household Finance
"FinTech, Crowdfunding, Digital Finance",Applied,Corporate & Household Finance
"Financial Literacy, Pension, Retirement Analysis",Applied,Corporate & Household Finance
Financial Reporting and Valuation Research,Applied,Corporate & Household Finance
"Insurance, Mortality, Demography, Risk Management",Applied,Corporate & Household Finance
Islamic Finance and Banking Studies,Applied,Corporate & Household Finance
Private Equity and Venture Capital,Applied,Corporate & Household Finance
Risk and Portfolio Optimization,Applied,Corporate & Household Finance
Stochastic processes and financial applications,Applied,Corporate & Household Finance
Agricultural risk and resilience,Applied,Development Economics
Asian Industrial and Economic Development,Applied,Development Economics
China's Socioeconomic Reforms and Governance,Applied,Development Economics
Corruption and Economic Development,Applied,Development Economics
"Culture, Economy, and Development Studies",Applied,Development Economics
Economic and Technological Developments in Russia,Applied,Development Economics
Economics of Agriculture and Food Markets,Applied,Development Economics
Food Security and Health in Diverse Populations,Applied,Development Economics
Global Socioeconomic and Political Dynamics,Applied,Development Economics
ICT Impact and Policies,Applied,Development Economics
"Income, Poverty, and Inequality",Applied,Development Economics
Indian Economic and Social Development,Applied,Development Economics
Innovation and Socioeconomic Development,Applied,Development Economics
International Development and Aid,Applied,Development Economics
Land Rights and Reforms,Applied,Development Economics
Microfinance and Financial Inclusion,Applied,Development Economics
"Poverty, Education, and Child Welfare",Applied,Development Economics
"Religion, Society, and Development",Applied,Development Economics
Socioeconomic Development in MENA,Applied,Development Economics
Historical Economic and Social Studies,Applied,Economic History
Italian Fascism and Post-war Society,Applied,Economic History
Italy: Economic History and Contemporary Issues,Applied,Economic History
"Race, History, and American Society",Applied,Economic History
Vietnamese History and Culture Studies,Applied,Economic History
Child Development and Digital Technology,Applied,Education Economics
Early Childhood Education and Development,Applied,Education Economics
Education Discipline and Inequality,Applied,Education Economics
Education Methods and Practices,Applied,Education Economics
Education Systems and Policy,Applied,Education Economics
Educational Leadership and Practices,Applied,Education Economics
Higher Education Governance and Development,Applied,Education Economics
Higher Education Research Studies,Applied,Education Economics
Innovations in Educational Methods,Applied,Education Economics
Intergenerational and Educational Inequality Studies,Applied,Education Economics
Online Learning and Analytics,Applied,Education Economics
Parental Involvement in Education,Applied,Education Economics
"Politics, Economics, and Education Policy",Applied,Education Economics
School Choice and Performance,Applied,Education Economics
Technology and Education Systems,Applied,Education Economics
Air Quality and Health Impacts,Applied,Environmental & Energy Economics
Climate Change Communication and Perception,Applied,Environmental & Energy Economics
Climate Change Policy and Economics,Applied,Environmental & Energy Economics
Climate variability and models,Applied,Environmental & Energy Economics
Coastal and Marine Management,Applied,Environmental & Energy Economics
Economic and Environmental Valuation,Applied,Environmental & Energy Economics
Electric Power System Optimization,Applied,Environmental & Energy Economics
Energy and Environment Impacts,Applied,Environmental & Energy Economics
"Energy, Environment, Economic Growth",Applied,Environmental & Energy Economics
"Energy, Environment, and Transportation Policies",Applied,Environmental & Energy Economics
Fire effects on ecosystems,Applied,Environmental & Energy Economics
Flood Risk Assessment and Management,Applied,Environmental & Energy Economics
Global Energy and Sustainability Research,Applied,Environmental & Energy Economics
Natural Resources and Economic Development,Applied,Environmental & Energy Economics
Pesticide and Herbicide Environmental Studies,Applied,Environmental & Energy Economics
Rangeland Management and Livestock Ecology,Applied,Environmental & Energy Economics
Sustainable Development and Environmental Policy,Applied,Environmental & Energy Economics
Sustainable Finance and Green Bonds,Applied,Environmental & Energy Economics
Water resources management and optimization,Applied,Environmental & Energy Economics
Assisted Reproductive Technology and Twin Pregnancy,Applied,Health Economics
Behavioral Health and Interventions,Applied,Health Economics
"Birth, Development, and Health",Applied,Health Economics
COVID-19 Pandemic Impacts,Applied,Health Economics
COVID-19 epidemiological studies,Applied,Health Economics
Child and Adolescent Health,Applied,Health Economics
Community Health and Development,Applied,Health Economics
Diversity and Career in Medicine,Applied,Health Economics
Geriatric Care and Nursing Homes,Applied,Health Economics
Global Cancer Incidence and Screening,Applied,Health Economics
Global Health Care Issues,Applied,Health Economics
Global Maternal and Child Health,Applied,Health Economics
"Health Systems, Economic Evaluations, Quality of Life",Applied,Health Economics
Health disparities and outcomes,Applied,Health Economics
"Health, Environment, Cognitive Aging",Applied,Health Economics
Healthcare Policy and Management,Applied,Health Economics
Healthcare Systems and Reforms,Applied,Health Economics
Mental Health and Psychiatry,Applied,Health Economics
Opioid Use Disorder Treatment,Applied,Health Economics
Organ Donation and Transplantation,Applied,Health Economics
Pharmaceutical Economics and Policy,Applied,Health Economics
Prenatal Screening and Diagnostics,Applied,Health Economics
Vaccine Coverage and Hesitancy,Applied,Health Economics
Economic Sanctions and International Relations,Applied,International Trade
Global Trade and Competitiveness,Applied,International Trade
Global trade and economics,Applied,International Trade
"Global trade, sustainability, and social impact",Applied,International Trade
International Business and FDI,Applied,International Trade
AI and HR Technologies,Applied,Labor Economics
Demographic Trends and Gender Preferences,Applied,Labor Economics
Digital Economy and Work Transformation,Applied,Labor Economics
Education and experiences of immigrants and refugees,Applied,Labor Economics
Employment and Welfare Studies,Applied,Labor Economics
Family Dynamics and Relationships,Applied,Labor Economics
Gender Diversity and Inequality,Applied,Labor Economics
Gender Roles and Identity Studies,Applied,Labor Economics
"Gender, Labor, and Family Dynamics",Applied,Labor Economics
Human Resource and Talent Management,Applied,Labor Economics
Intergenerational Family Dynamics and Caregiving,Applied,Labor Economics
Job Satisfaction and Organizational Behavior,Applied,Labor Economics
Labor Movements and Unions,Applied,Labor Economics
Labor market dynamics and wage inequality,Applied,Labor Economics
Migration and Labor Dynamics,Applied,Labor Economics
"Migration, Ethnicity, and Economy",Applied,Labor Economics
"Migration, Refugees, and Integration",Applied,Labor Economics
"Names, Identity, and Discrimination Research",Applied,Labor Economics
Occupational and Professional Licensing Regulation,Applied,Labor Economics
Organizational Strategy and Culture,Applied,Labor Economics
"Retirement, Disability, and Employment",Applied,Labor Economics
Sleep and Work-Related Fatigue,Applied,Labor Economics
Work-Family Balance Challenges,Applied,Labor Economics
Academic and Historical Perspectives in Psychology,Applied,Other / Interdisciplinary
Academic integrity and plagiarism,Applied,Other / Interdisciplinary
Animal Ecology and Behavior Studies,Applied,Other / Interdisciplinary
Child Abuse and Trauma,Applied,Other / Interdisciplinary
Child Welfare and Adoption,Applied,Other / Interdisciplinary
Child and Adolescent Psychosocial and Emotional Development,Applied,Other / Interdisciplinary
Cognitive Abilities and Testing,Applied,Other / Interdisciplinary
Communication in Education and Healthcare,Applied,Other / Interdisciplinary
Contemporary Sociological Theory and Practice,Applied,Other / Interdisciplinary
Cultural Differences and Values,Applied,Other / Interdisciplinary
Deception detection and forensic psychology,Applied,Other / Interdisciplinary
Diverse Perspectives in Modern Studies,Applied,Other / Interdisciplinary
Diverse Scientific and Economic Studies,Applied,Other / Interdisciplinary
Ethics and Social Impacts of AI,Applied,Other / Interdisciplinary
Face and Expression Recognition,Applied,Other / Interdisciplinary
"Genetics, Bioinformatics, and Biomedical Research",Applied,Other / Interdisciplinary
"Grit, Self-Efficacy, and Motivation",Applied,Other / Interdisciplinary
Homelessness and Social Issues,Applied,Other / Interdisciplinary
Human auditory perception and evaluation,Applied,Other / Interdisciplinary
Impact of Technology on Adolescents,Applied,Other / Interdisciplinary
Older Adults Driving Studies,Applied,Other / Interdisciplinary
Opinion Dynamics and Social Influence,Applied,Other / Interdisciplinary
"Optimism, Hope, and Well-being",Applied,Other / Interdisciplinary
Psychological and Educational Research Studies,Applied,Other / Interdisciplinary
Psychology of Moral and Emotional Judgment,Applied,Other / Interdisciplinary
Psychosocial Factors Impacting Youth,Applied,Other / Interdisciplinary
Religion and Society Interactions,Applied,Other / Interdisciplinary
Seed and Plant Biochemistry,Applied,Other / Interdisciplinary
Social Capital and Networks,Applied,Other / Interdisciplinary
Social Power and Status Dynamics,Applied,Other / Interdisciplinary
Social and Cultural Dynamics,Applied,Other / Interdisciplinary
South Asian Cinema and Culture,Applied,Other / Interdisciplinary
Space Science and Extraterrestrial Life,Applied,Other / Interdisciplinary
Sports Analytics and Performance,Applied,Other / Interdisciplinary
Youth Development and Social Support,Applied,Other / Interdisciplinary
scientometrics and bibliometrics research,Applied,Other / Interdisciplinary
Academic Freedom and Politics,Applied,Political Economy & Governance
"Crime, Illicit Activities, and Governance",Applied,Political Economy & Governance
Criminal Justice and Corrections Analysis,Applied,Political Economy & Governance
"Defense, Military, and Policy Studies",Applied,Political Economy & Governance
Dispute Resolution and Class Actions,Applied,Political Economy & Governance
Electoral Systems and Political Participation,Applied,Political Economy & Governance
Gender Politics and Representation,Applied,Political Economy & Governance
"Gender, Security, and Conflict",Applied,Political Economy & Governance
Gun Ownership and Violence Research,Applied,Political Economy & Governance
International Science and Diplomacy,Applied,Political Economy & Governance
Judicial and Constitutional Studies,Applied,Political Economy & Governance
"Law, Economics, and Judicial Systems",Applied,Political Economy & Governance
Legal Education and Practice Innovations,Applied,Political Economy & Governance
Legal principles and applications,Applied,Political Economy & Governance
Media Influence and Politics,Applied,Political Economy & Governance
Misinformation and Its Impacts,Applied,Political Economy & Governance
Policing Practices and Perceptions,Applied,Political Economy & Governance
Political Influence and Corporate Strategies,Applied,Political Economy & Governance
Political Philosophy and Ethics,Applied,Political Economy & Governance
"Politics and Conflicts in Afghanistan, Pakistan, and Middle East",Applied,Political Economy & Governance
"Populism, Right-Wing Movements",Applied,Political Economy & Governance
Regulation and Compliance Studies,Applied,Political Economy & Governance
Social Media and Politics,Applied,Political Economy & Governance
Social Policy and Reform Studies,Applied,Political Economy & Governance
Sociopolitical Dynamics in Russia,Applied,Political Economy & Governance
"Terrorism, Counterterrorism, and Political Violence",Applied,Political Economy & Governance
Corporate Taxation and Avoidance,Applied,Public Finance & Taxation
Local Government Finance and Decentralization,Applied,Public Finance & Taxation
Public Procurement and Policy,Applied,Public Finance & Taxation
Taxation and Compliance Studies,Applied,Public Finance & Taxation
Air Traffic Management and Optimization,Applied,Urban & Regional Economics
Regional Development and Policy,Applied,Urban & Regional Economics
Regional Economics and Spatial Analysis,Applied,Urban & Regional Economics
Transportation Planning and Optimization,Applied,Urban & Regional Economics
Transportation and Mobility Innovations,Applied,Urban & Regional Economics
Urban Transport and Accessibility,Applied,Urban & Regional Economics
Urban and Rural Development Challenges,Applied,Urban & Regional Economics
"Urban, Neighborhood, and Segregation Studies",Applied,Urban & Regional Economics
Urbanization and City Planning,Applied,Urban & Regional Economics
Advanced Causal Inference Techniques,Econometrics,Causal Inference & Identification
Bayesian Modeling and Causal Inference,Econometrics,Causal Inference & Identification
Advanced Bandit Algorithms Research,Econometrics,Machine Learning in Economics
Advanced Optimization Algorithms Research,Econometrics,Machine Learning in Economics
Computational and Text Analysis Methods,Econometrics,Machine Learning in Economics
Information Retrieval and Search Behavior,Econometrics,Machine Learning in Economics
Machine Learning and Algorithms,Econometrics,Machine Learning in Economics
Mobile Crowdsensing and Crowdsourcing,Econometrics,Machine Learning in Economics
Neural Networks and Applications,Econometrics,Machine Learning in Economics
Neural Networks and Reservoir Computing,Econometrics,Machine Learning in Economics
Privacy-Preserving Technologies in Data,Econometrics,Machine Learning in Economics
Scheduling and Optimization Algorithms,Econometrics,Machine Learning in Economics
Stochastic Gradient Optimization Techniques,Econometrics,Machine Learning in Economics
Advanced Queuing Theory Analysis,Econometrics,Statistical & Bayesian Methods
Advanced Statistical Methods and Models,Econometrics,Statistical & Bayesian Methods
Advanced Statistical Process Monitoring,Econometrics,Statistical & Bayesian Methods
Bayesian Methods and Mixture Models,Econometrics,Statistical & Bayesian Methods
Blind Source Separation Techniques,Econometrics,Statistical & Bayesian Methods
Complex Network Analysis Techniques,Econometrics,Statistical & Bayesian Methods
Evaluation and Performance Assessment,Econometrics,Statistical & Bayesian Methods
Fuzzy Systems and Optimization,Econometrics,Statistical & Bayesian Methods
Markov Chains and Monte Carlo Methods,Econometrics,Statistical & Bayesian Methods
Probabilistic and Robust Engineering Design,Econometrics,Statistical & Bayesian Methods
Statistical Methods and Bayesian Inference,Econometrics,Statistical & Bayesian Methods
Statistical Methods and Inference,Econometrics,Statistical & Bayesian Methods
Complex Systems and Time Series Analysis,Econometrics,Time Series & Panel Data Methods
Forecasting Techniques and Applications,Econometrics,Time Series & Panel Data Methods
Innovation Diffusion and Forecasting,Econometrics,Time Series & Panel Data Methods
Spatial and Panel Data Analysis,Econometrics,Time Series & Panel Data Methods
Economic Growth and Development,Macro,Business Cycles & Growth
Economic Growth and Productivity,Macro,Business Cycles & Growth
Economic Policies and Impacts,Macro,Business Cycles & Growth
"Economic, financial, and policy analysis",Macro,Business Cycles & Growth
German Economic Analysis & Policies,Macro,Business Cycles & Growth
"Banking stability, regulation, efficiency",Macro,Financial Markets & Stability
Credit Risk and Financial Regulations,Macro,Financial Markets & Stability
Financial Markets and Investment Strategies,Macro,Financial Markets & Stability
Financial Risk and Volatility Modeling,Macro,Financial Markets & Stability
Global Financial Crisis and Policies,Macro,Financial Markets & Stability
Housing Market and Economics,Macro,Financial Markets & Stability
"Housing, Finance, and Neoliberalism",Macro,Financial Markets & Stability
Insurance and Financial Risk Management,Macro,Financial Markets & Stability
Market Dynamics and Volatility,Macro,Financial Markets & Stability
State Capitalism and Financial Governance,Macro,Financial Markets & Stability
Fiscal Policies and Political Economy,Macro,Fiscal Policy
Fiscal Policy and Economic Growth,Macro,Fiscal Policy
European Monetary and Fiscal Policies,Macro,Monetary Policy & Central Banking
Monetary Policy and Economic Impact,Macro,Monetary Policy & Central Banking
Auction Theory and Applications,Micro,Auctions & Market Design
Decision-Making and Behavioral Economics,Micro,Behavioral & Experimental Economics
Experimental Behavioral Economics Studies,Micro,Behavioral & Experimental Economics
Gambling Behavior and Treatments,Micro,Behavioral & Experimental Economics
Risk Perception and Management,Micro,Behavioral & Experimental Economics
Evolutionary Game Theory and Cooperation,Micro,Game Theory & Mechanism Design
Game Theory and Applications,Micro,Game Theory & Mechanism Design
Game Theory and Voting Systems,Micro,Game Theory & Mechanism Design
Economic Theory and Institutions,Micro,General Economic Theory
Economic Theory and Policy,Micro,General Economic Theory
Economic theories and models,Micro,General Economic Theory
Aviation Industry Analysis and Trends,Micro,Industrial Organization & Competition
Consumer Market Behavior and Pricing,Micro,Industrial Organization & Competition
Consumer Retail Behavior Studies,Micro,Industrial Organization & Competition
Digital Platforms and Economics,Micro,Industrial Organization & Competition
Economic and Technological Innovation,Micro,Industrial Organization & Competition
Entrepreneurship Studies and Influences,Micro,Industrial Organization & Competition
Firm Innovation and Growth,Micro,Industrial Organization & Competition
Innovation Policy and R&D,Micro,Industrial Organization & Competition
Innovation and Knowledge Management,Micro,Industrial Organization & Competition
Intellectual Property and Patents,Micro,Industrial Organization & Competition
Merger and Competition Analysis,Micro,Industrial Organization & Competition
Sharing Economy and Platforms,Micro,Industrial Organization & Competition
Supply Chain Resilience and Risk Management,Micro,Industrial Organization & Competition
Technology Adoption and User Behaviour,Micro,Industrial Organization & Competition
